what,kind,bundleId,bundleVersion,description,time
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1351079697112
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1351079697112
java.vm.specification.version,sysinfo,,,"1.0",1351079697112
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1351079697112
java.vm.version,sysinfo,,,"20.12-b01",1351079697112
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1351079697923
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1351079698188
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1351079698485
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1351079698485
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1351079698750
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1351079699327
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1351079700965
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1351079952359
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1351079956890
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1351080471925
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1351080501690
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1351080502345
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1351082675749
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1351082677654
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1351083795768
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1351083796828
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1351083982812
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1351083984356
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1351086787541
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1351086787962
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1351088669419
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1351088670527
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1351089112148
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1351089112631
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1351089114394
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1351089141273
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1351089526449
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1351089527447
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1351090113743
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1351090114414
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1351091219890
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1351091223030
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1351091224490
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1351091224600
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1351091225085
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1351091225645
